scenario	status	log_file
cap-bpf	failed	/tmp/container-risk-labs/proof-runs/all-20260510-221802/cap-bpf.log
cap-dac-override-single	failed	/tmp/container-risk-labs/proof-runs/all-20260510-221802/cap-dac-override-single.log
cap-dac-override-writable-host-mount	failed	/tmp/container-risk-labs/proof-runs/all-20260510-221802/cap-dac-override-writable-host-mount.log
cap-dac-read-search	failed	/tmp/container-risk-labs/proof-runs/all-20260510-221802/cap-dac-read-search.log
cap-kill-host-pidns	failed	/tmp/container-risk-labs/proof-runs/all-20260510-221802/cap-kill-host-pidns.log
cap-mknod	failed	/tmp/container-risk-labs/proof-runs/all-20260510-221802/cap-mknod.log
cap-net-admin	failed	/tmp/container-risk-labs/proof-runs/all-20260510-221802/cap-net-admin.log
cap-net-raw	failed	/tmp/container-risk-labs/proof-runs/all-20260510-221802/cap-net-raw.log
cap-perfmon	failed	/tmp/container-risk-labs/proof-runs/all-20260510-221802/cap-perfmon.log
cap-setfcap	failed	/tmp/container-risk-labs/proof-runs/all-20260510-221802/cap-setfcap.log
cap-setpcap	failed	/tmp/container-risk-labs/proof-runs/all-20260510-221802/cap-setpcap.log
cap-sys-admin	failed	/tmp/container-risk-labs/proof-runs/all-20260510-221802/cap-sys-admin.log
cap-sys-admin-shared-mount	failed	/tmp/container-risk-labs/proof-runs/all-20260510-221802/cap-sys-admin-shared-mount.log
cap-sys-boot	failed	/tmp/container-risk-labs/proof-runs/all-20260510-221802/cap-sys-boot.log
cap-sys-chroot-mountns	failed	/tmp/container-risk-labs/proof-runs/all-20260510-221802/cap-sys-chroot-mountns.log
cap-sys-module	failed	/tmp/container-risk-labs/proof-runs/all-20260510-221802/cap-sys-module.log
cap-sys-ptrace-host-pidns	failed	/tmp/container-risk-labs/proof-runs/all-20260510-221802/cap-sys-ptrace-host-pidns.log
cap-sys-rawio	failed	/tmp/container-risk-labs/proof-runs/all-20260510-221802/cap-sys-rawio.log
cap-sys-resource	failed	/tmp/container-risk-labs/proof-runs/all-20260510-221802/cap-sys-resource.log
host-pidns	failed	/tmp/container-risk-labs/proof-runs/all-20260510-221802/host-pidns.log
host-userns	failed	/tmp/container-risk-labs/proof-runs/all-20260510-221802/host-userns.log
no-new-privs-delayed-cap	failed	/tmp/container-risk-labs/proof-runs/all-20260510-221802/no-new-privs-delayed-cap.log
seccomp-unconfined	failed	/tmp/container-risk-labs/proof-runs/all-20260510-221802/seccomp-unconfined.log
seccomp-unconfined-cap-mknod	failed	/tmp/container-risk-labs/proof-runs/all-20260510-221802/seccomp-unconfined-cap-mknod.log
seccomp-unconfined-cap-sys-admin	failed	/tmp/container-risk-labs/proof-runs/all-20260510-221802/seccomp-unconfined-cap-sys-admin.log
shared-mount	failed	/tmp/container-risk-labs/proof-runs/all-20260510-221802/shared-mount.log
writable-host-mount	failed	/tmp/container-risk-labs/proof-runs/all-20260510-221802/writable-host-mount.log
